gvkey,datadate,fyear,indfmt,tic,conm,curcd,at,ci,emp,lt,txpd,xopr,costat,mkvalt,prcc_f,city,state
13003,20161031,2016,INDL,JOY,JOY GLOBAL INC,USD,3426.431,-57.058,10,2044.725,39.416,2178.695,A,2736.3013,27.83,Milwaukee,WI
13041,20161231,2016,INDL,SNV,SYNOVUS FINANCIAL CORP,USD,30104.002,220.944,4.436,27176.078,9.34,662.996,A,5022.6873,41.08,Columbus,GA
13041,20161231,2016,FS,SNV,SYNOVUS FINANCIAL CORP,USD,30104.002,220.944,4.436,27176.078,,,A,5022.6873,41.08,Columbus,GA
13089,20160831,2016,INDL,SMS.,SUSTAINCO INC,CAD,6.063,-0.718,,4.897,,14.275,A,6.138,0.65,Vaughan,ON
13092,20160930,2016,INDL,JACK,JACK IN THE BOX INC,USD,1348.791,69.582,22.2,1565.997,33.454,1265.192,A,3109.2235,95.94,San Diego,CA
13125,20161231,2016,FS,HCP,HCP INC,USD,15759.265,,0.188,9817.957,,,A,13911.3673,29.72,Irvine,CA
13125,20161231,2016,INDL,HCP,HCP INC,USD,15759.265,640.754,0.188,9817.957,13.727,1412.939,A,13911.3673,29.72,Irvine,CA
13128,20160731,2016,INDL,EEI,ECOLOGY AND ENVIRONMENT INC,USD,59.512,0.072,0.893,21.607,2.742,100.532,A,43.5504,10.1516,Lancaster,NY
13141,20160930,2016,INDL,GPKUF,GRAND PEAK CAPITAL CORP,CAD,4,1.171,,1.117,,0.115,A,,,Surrey,BC
13142,20161231,2016,INDL,CMO,CAPSTEAD MORTGAGE CORP,USD,13576.876,52.564,0.014,12329.189,0,13.466,A,978.1279,10.19,Dallas,TX
13142,20161231,2016,FS,CMO,CAPSTEAD MORTGAGE CORP,USD,13576.876,,0.014,12329.189,,,A,978.1279,10.19,Dallas,TX
13145,20161231,2016,INDL,ICAGY,INTL CONSOL AIRLINES GROUP,USD,28883.99,268.021,63.387,22907.337,335.554,19661.542,A,,10.896,Madrid,
13184,20161231,2016,INDL,CYTR,CYTRX CORP,USD,62.77,,,37.993,,50.02,A,41.4344,0.3722,Los Angeles,CA
13189,20161231,2016,INDL,CDR,CEDAR REALTY TRUST INC,USD,1233.521,13.665,0.07,651.524,0,113.229,A,535.7996,6.53,Port Washington,NY
13189,20161231,2016,FS,CDR,CEDAR REALTY TRUST INC,USD,1233.521,,0.07,651.524,,,A,535.7996,6.53,Port Washington,NY
13200,20161031,2016,INDL,PLAB,PHOTRONICS INC,USD,988.267,61.55,1.53,162.793,11.2,348.568,A,660.376,9.7,Brookfield,CT
13252,20160930,2016,INDL,GLGDF,GOGOLD RESOURCES INC,CAD,184.464,-32.033,0.114,68.923,,41.616,A,161.0934,0.94,Halifax,NS
13289,20160630,2016,INDL,CFNB,CALIF FIRST NATIONAL BANCORP,USD,888.176,9.762,0.099,697.154,5.293,17.915,A,151.8356,14.77,Irvine,CA
13312,20160630,2016,INDL,BHP,BHP BILLITON GROUP (AUS),USD,118953,-6184,26.827,58882,1645,26783,A,,28.56,Melbourne,
13323,20161031,2016,INDL,SAFM,SANDERSON FARMS INC,USD,1422.7,188.961,13.232,232.438,72.213,2437.363,A,2041.9161,89.98,Laurel,MS
13341,20161231,2016,INDL,PGR,PROGRESSIVE CORP-OHIO,USD,33427.5,1187,31.721,24986.7,459.4,21607.9,A,20586.45,35.5,Mayfield Village,OH
13341,20161231,2016,FS,PGR,PROGRESSIVE CORP-OHIO,USD,33427.5,,31.721,24986.7,,,A,20586.45,35.5,Mayfield Village,OH
13342,20161231,2016,INDL,RLI,RLI CORP,USD,2777.633,113.756,0.943,1954.061,26.9,656.223,A,2774.2479,63.13,Peoria,IL
13342,20161231,2016,FS,RLI,RLI CORP,USD,2777.633,,0.943,1954.061,,,A,2774.2479,63.13,Peoria,IL
13353,20161231,2016,INDL,WEC2,WISCONSIN ELECTRIC POWER CO,USD,13371.5,365.5,3.099,9847.3,-100.2,2848.8,A,,,Milwaukee,WI
13358,20160630,2016,INDL,BNTRF,BENTON RESOURCES INC,CAD,8.55,-0.452,,0.042,,1.096,A,5.3869,0.07,Thunder Bay,ON
13375,20161231,2016,INDL,GNCMA,GENERAL COMMUNICATION  -CL A,USD,2065.939,-4.136,2.31,2012.691,,657.705,A,686.9114,19.45,Anchorage,AK
13400,20161231,2016,INDL,ASM,AVINO SILVER&GOLD MINES LTD,CAD,125.937,0.933,0.502,43.42,4.155,29.496,A,95.9231,1.83,Vancouver,
13406,20161231,2016,INDL,CCC,CALGON CARBON CORP,USD,775.218,1.828,1.334,394.075,9.5,435.354,A,862.75,17,Pittsburgh,PA
13421,20161231,2016,INDL,CDNS,CADENCE DESIGN SYSTEMS INC,USD,2096.908,190.351,7.1,1355.138,36.823,1405.777,A,7013.6568,25.22,San Jose,CA
